,assists,bonus,bps,chance_of_playing_this_round,clean_sheets,code,creativity,dreamteam_count,ea_index,element_type,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id_x,in_dreamteam,influence,loans_out,minutes,now_cost,own_goals,penalties_missed,penalties_saved,points_per_game,red_cards,saves,second_name,selected_by_percent,status,team,threat,total_points,transfers_in,transfers_out,value_season,yellow_cards,singular_name_short,team_id,team_name,matchup,opponent_name,creativecost,influencecost,threatcost,myscore
30,0,0,102,,1,18726,0.0,1,281,1,2,Artur,5.0,9,0,14.0,29,False,141.2,0,450,45,0,0,1,3.8,0,18,Boruc,5.2,a,2,0.0,19,31176,39392,4.2,1,GKP,2,Bournemouth,0.5,Man City,0.0,3.1377777777777776,0.0,372.0
32,0,0,96,,1,15149,9.7,0,462,2,0,Simon,2.7,9,0,16.7,31,False,122.6,0,450,45,0,0,0,2.2,0,0,Francis,1.1,a,2,34.0,11,7507,17054,2.4,0,DEF,2,Bournemouth,0.5,Man City,0.21555555555555553,2.7244444444444444,0.7555555555555555,235.505
33,0,1,89,100.0,1,56917,23.3,0,443,2,0,Steve,3.0,9,0,22.6,32,False,143.2,0,450,49,0,0,0,2.2,0,0,Cook,0.5,a,2,59.0,11,1411,5986,2.2,1,DEF,2,Bournemouth,0.5,Man City,0.4755102040816327,2.9224489795918367,1.2040816326530612,349.25
34,0,2,81,,1,41320,84.6,0,491,2,0,Charlie,3.3,9,0,16.9,33,False,69.8,0,450,49,0,0,0,2.6,0,0,Daniels,3.1,a,2,15.0,13,5256,50099,2.7,0,DEF,2,Bournemouth,0.5,Man City,1.7265306122448978,1.4244897959183673,0.30612244897959184,292.50999999999993
35,1,3,104,100.0,1,54469,56.7,1,297,2,-1,Adam,4.0,9,1,22.9,34,False,126.6,0,450,46,0,0,0,4.2,0,0,Smith,7.5,a,2,45.0,21,226227,47024,4.6,2,DEF,2,Bournemouth,0.5,Man City,1.232608695652174,2.752173913043478,0.9782608695652174,477.6
37,0,0,6,,0,126184,0.3,0,232,2,0,Nathan,0.3,2,0,0.3,36,False,0.2,0,15,44,0,0,0,1.0,0,0,Aké,1.2,a,2,2.0,2,3191,26740,0.5,0,DEF,2,Bournemouth,0.5,Man City,0.006818181818181818,0.004545454545454546,0.045454545454545456,2.375
40,0,0,18,100.0,0,54102,32.0,0,18,3,2,Jack,1.0,4,0,5.8,17,False,14.4,0,134,59,0,0,0,1.0,0,0,Wilshere,1.1,a,2,12.0,4,50095,20933,0.7,1,MID,2,Bournemouth,0.5,Man City,0.5423728813559322,0.2440677966101695,0.2033898305084746,33.2
41,1,0,66,100.0,1,48615,69.0,0,188,3,2,Harry,3.3,9,0,15.3,37,False,62.8,0,436,50,0,0,0,2.2,1,0,Arter,0.2,a,2,24.0,11,2451,3152,2.2,0,MID,2,Bournemouth,0.5,Man City,1.38,1.256,0.48,268.07
43,0,0,80,,1,15237,42.8,0,385,3,2,Andrew,2.3,9,0,13.0,39,False,65.0,0,450,49,0,0,0,2.2,0,0,Surman,0.2,a,2,22.0,11,822,4071,2.2,0,MID,2,Bournemouth,0.5,Man City,0.873469387755102,1.3265306122448979,0.4489795918367347,160.27
46,0,0,18,100.0,1,56872,20.4,0,217,3,2,Junior,1.7,4,0,7.0,42,False,13.4,0,146,55,0,0,0,2.5,0,0,Stanislas,0.0,a,2,36.0,5,168,552,0.9,0,MID,2,Bournemouth,0.5,Man City,0.3709090909090909,0.24363636363636365,0.6545454545454545,64.33
47,0,0,13,,0,40387,25.9,0,331,3,1,Dan,1.0,1,0,3.5,43,False,6.2,0,77,48,0,0,0,1.0,0,0,Gosling,0.1,a,2,3.0,4,206,3378,0.8,0,MID,2,Bournemouth,0.5,Man City,0.5395833333333333,0.12916666666666668,0.0625,21.549999999999997
48,0,0,12,,0,59741,4.2,0,155,3,1,Max,0.7,0,0,4.3,44,False,13.4,0,44,52,0,0,0,1.0,0,0,Gradel,0.2,a,2,25.0,3,749,9798,0.6,0,MID,2,Bournemouth,0.5,Man City,0.08076923076923077,0.2576923076923077,0.4807692307692308,17.91
50,0,0,30,,2,103912,75.5,0,184,3,1,Jordon,1.7,5,0,18.4,46,False,25.6,0,310,53,0,0,0,2.0,0,0,Ibe,2.7,a,2,84.0,10,19817,99575,1.9,0,MID,2,Bournemouth,0.5,Man City,1.4245283018867925,0.4830188679245283,1.5849056603773586,167.33499999999998
51,0,0,10,100.0,0,155408,14.3,0,0,3,0,Lewis,0.0,3,0,2.5,47,False,7.0,0,80,44,0,0,0,2.0,0,0,Cook,0.3,a,2,4.0,2,3154,8321,0.5,0,MID,2,Bournemouth,0.5,Man City,0.325,0.1590909090909091,0.09090909090909091,2.0
52,0,2,64,100.0,1,78007,60.2,0,321,3,2,Joshua,4.7,9,1,30.2,48,False,87.8,0,433,55,0,0,0,3.6,0,0,King,0.8,a,2,153.0,18,24253,20431,3.3,0,MID,2,Bournemouth,0.5,Man City,1.0945454545454545,1.5963636363636362,2.7818181818181817,725.35
53,0,0,15,,1,90105,29.5,0,0,3,0,Ryan,1.0,1,0,4.2,536,False,3.0,0,172,50,0,0,0,2.5,0,0,Fraser,0.0,d,2,10.0,5,232,137,1.0,0,MID,2,Bournemouth,0.5,Man City,0.59,0.06,0.2,26.25
54,0,0,25,,3,75115,39.6,0,165,4,1,Callum,3.0,5,1,19.4,49,False,42.2,0,345,64,0,0,0,2.6,0,0,Wilson,2.0,a,2,119.0,13,26558,58724,2.0,0,FWD,2,Bournemouth,0.5,Man City,0.61875,0.659375,1.859375,314.2
56,1,0,17,,0,21246,11.8,0,124,4,0,Lewis,0.3,2,0,5.3,51,False,24.2,0,60,45,0,0,0,2.0,0,0,Grabban,3.5,a,2,17.0,6,45792,77920,1.3,0,FWD,2,Bournemouth,0.5,Man City,0.26222222222222225,0.5377777777777778,0.37777777777777777,13.95
57,0,0,-1,100.0,0,88498,10.5,0,146,4,0,Benik,0.0,0,0,1.4,52,False,1.2,0,23,57,0,0,0,1.0,0,0,Afobe,0.3,a,2,2.0,1,2350,16040,0.2,0,FWD,2,Bournemouth,0.5,Man City,0.18421052631578946,0.021052631578947368,0.03508771929824561,1.0
59,0,3,105,,1,21205,0.0,1,0,1,2,Tom,2.3,8,0,16.0,54,False,158.6,0,450,46,0,0,0,4.2,0,24,Heaton,8.0,a,3,0.0,21,154707,51794,4.6,0,GKP,3,Burnley,0.5,Leicester,0.0,3.4478260869565216,0.0,203.39
62,0,1,77,,1,68983,92.2,0,0,2,0,Matthew,1.0,8,0,20.5,55,False,103.0,0,450,45,0,0,0,2.2,0,0,Lowton,0.5,a,3,10.0,11,9567,6419,2.4,2,DEF,3,Burnley,0.5,Leicester,2.048888888888889,2.2888888888888888,0.2222222222222222,113.6
63,0,0,80,,1,51927,13.2,0,0,2,-1,Ben,0.3,8,0,14.5,56,False,115.0,0,450,45,1,0,0,1.8,0,0,Mee,0.7,a,3,16.0,9,8386,10272,2.0,1,DEF,3,Burnley,0.5,Leicester,0.29333333333333333,2.5555555555555554,0.35555555555555557,30.63
64,0,0,78,75.0,1,40616,47.4,0,0,2,1,Stephen,1.3,8,0,13.6,57,False,86.0,0,450,45,0,0,0,2.2,0,0,Ward,0.2,a,3,3.0,11,3930,1852,2.4,1,DEF,3,Burnley,0.5,Leicester,1.0533333333333332,1.9111111111111112,0.06666666666666667,99.66000000000001
