,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,creativecost,influencecost,threatcost,myscore,position
246,1,2,44,,,1,106760,1,-1,1,-1,14.8,1,92,2,8.0,7.0,11,Luke,6.5,1,0,4.6,247,False,27.0,0,0,0,0,180,,56,0,0,0,106760.jpg,6.5,0,0,Shaw,22.9,False,23.0,a,11,1,4.0,13,153860,137223,30483,9184,1.2,2.4,Shaw,0,0.2642857142857143,0.48214285714285715,0.07142857142857142,310.7,Def
247,0,0,0,,,0,58893,-1,1,-1,1,0.0,0,192,2,1.5,0.5,0,Marcos,0.0,0,0,0.0,248,False,0.0,0,0,0,0,0,,54,0,0,0,58893.jpg,0.0,0,0,Rojo,0.5,False,5.0,a,11,1,0.0,0,271,61,6426,3089,0.0,0.0,Rojo,0,0.0,0.0,0.0,0.0,Def
248,0,0,2,,,0,160817,0,0,0,0,2.5,0,28,2,-1.0,0.0,0,Patrick,-0.5,3,0,0.4,249,False,0.0,0,0,0,0,53,,45,1,0,0,160817.jpg,-0.5,0,0,McNair,0.4,False,19.0,a,15,56,4.0,-1,699,290,2504,1216,-0.1,-0.2,McNair,0,0.05555555555555555,0.0,0.08888888888888889,-4.25,Def
249,0,0,37,,,1,20695,0,0,0,0,25.8,0,186,2,5.5,4.5,6,Antonio,4.0,1,0,7.5,250,False,39.0,0,0,0,0,180,,55,0,0,0,20695.jpg,4.0,0,0,Valencia,10.1,False,25.0,a,11,1,10.0,8,45043,21691,23460,13140,0.7,1.5,Valencia,0,0.4690909090909091,0.7090909090909091,0.18181818181818182,307.2,Def
250,0,0,0,,,0,40002,-1,1,-2,2,0.0,0,257,2,1.5,0.5,0,Matteo,0.0,0,0,0.0,251,False,0.0,0,0,0,0,0,,53,0,0,0,40002.jpg,0.0,0,0,Darmian,1.3,False,36.0,a,11,1,0.0,0,222,62,27251,12273,0.0,0.0,Darmian,0,0.0,0.0,0.0,0.0,Def
251,0,0,0,0.0,50.0,0,171273,-1,1,-1,1,0.0,0,123,2,0.0,0.3,0,Cameron,0.0,0,0,0.0,252,False,0.0,0,0,0,0,0,Joined Wolves in season-long loan deal,44,0,0,0,171273.jpg,0.0,0,0,Borthwick-Jackson,0.1,False,43.0,u,11,1,0.0,0,41,25,1378,618,0.0,0.0,Borthwick-Jackson,0,0.0,0.0,0.0,0.0,Def
252,0,0,0,,,0,201084,-1,1,-1,1,0.0,0,40,2,1.5,0.5,0,Timothy,0.0,0,0,0.0,253,False,0.0,0,0,0,0,0,,44,0,0,0,201084.jpg,0.0,0,0,Fosu-Mensah,0.2,False,24.0,a,11,1,0.0,0,209,91,2514,1207,0.0,0.0,Fosu-Mensah,0,0.0,0.0,0.0,0.0,Def
253,0,2,53,,,1,58877,0,0,0,0,2.0,0,477,2,6.5,5.5,8,Daley,5.0,1,0,4.6,254,False,44.0,0,0,0,0,180,,55,0,0,0,58877.jpg,5.0,0,0,Blind,3.0,False,17.0,a,11,1,0.0,10,13049,10143,7418,3481,0.9,1.8,Blind,0,0.03636363636363636,0.8,0.0,240.0,Def
254,0,0,49,,,1,197365,0,0,0,0,1.2,0,0,2,5.5,4.5,6,Eric,4.0,1,0,3.9,255,False,37.0,0,0,0,0,180,,55,0,0,0,197365.jpg,4.0,0,0,Bailly,13.7,False,3.0,a,11,1,0.0,8,49366,20401,30813,18025,0.7,1.5,Bailly,0,0.021818181818181816,0.6727272727272727,0.0,160.8,Def
255,0,0,49,,,1,43670,0,0,0,0,46.1,0,586,3,6.5,5.5,3,Juan,5.0,1,1,15.7,256,False,55.2,0,0,0,0,149,,75,0,0,0,43670.jpg,5.0,0,0,Mata,2.6,False,8.0,a,11,1,55.0,10,27816,12263,11008,7072,0.7,1.3,Mata,0,0.6146666666666667,0.736,0.7333333333333333,791.5,Mid
256,0,0,38,,,1,41184,0,0,0,0,9.6,0,164,3,4.0,3.0,3,Marouane,2.5,1,0,5.1,257,False,39.6,0,0,0,0,180,,60,0,0,0,41184.jpg,2.5,0,0,Fellaini,0.4,False,27.0,a,11,1,2.0,5,5204,3495,2397,1356,0.4,0.8,Fellaini,0,0.16,0.66,0.03333333333333333,133.0,Mid
257,0,0,0,,,0,106824,-1,1,-1,1,0.0,0,259,3,2.0,1.0,0,Memphis,0.5,0,0,0.2,258,False,0.0,0,0,0,0,2,,74,0,0,0,106824.jpg,1.0,0,0,Depay,0.2,False,7.0,a,11,1,2.0,1,296,78,3137,1465,0.1,0.1,Depay,0,0.0,0.0,0.02702702702702703,2.0,Mid
258,0,0,0,,,0,2404,-1,1,-1,1,0.0,0,275,3,1.5,0.5,0,Michael,0.0,0,0,0.0,259,False,0.0,0,0,0,0,0,,44,0,0,0,2404.jpg,0.0,0,0,Carrick,1.0,False,16.0,a,11,1,0.0,0,3525,2829,10096,4883,0.0,0.0,Carrick,0,0.0,0.0,0.0,0.0,Mid
259,0,0,0,,,0,18892,-1,1,-1,1,0.0,0,178,3,1.5,0.5,0,Ashley,0.0,0,0,0.0,260,False,0.0,0,0,0,0,0,,54,0,0,0,18892.jpg,0.0,0,0,Young,0.1,False,18.0,a,11,1,0.0,0,151,48,1070,470,0.0,0.0,Young,0,0.0,0.0,0.0,0.0,Mid
260,0,0,13,,,0,154976,0,0,0,0,49.1,0,33,3,1.0,2.0,2,Adnan,1.5,3,0,12.3,261,False,20.4,0,0,0,0,117,,55,0,0,0,154976.jpg,1.5,0,0,Januzaj,1.2,False,44.0,a,15,56,53.0,3,13626,6347,5580,3303,0.3,0.5,Januzaj,0,0.8927272727272727,0.3709090909090909,0.9636363636363636,186.75,Mid
261,0,0,14,,,0,59846,-1,1,-1,1,14.1,0,307,3,2.5,1.5,1,Ander,1.0,1,0,2.6,262,False,11.8,0,0,0,0,99,,64,0,0,0,59846.jpg,1.0,0,0,Herrera,0.3,False,21.0,a,11,1,0.0,2,760,153,3203,1614,0.2,0.3,Herrera,1,0.2203125,0.184375,0.0,27.9,Mid
262,0,0,0,,,0,156689,-1,1,-1,1,0.0,0,12,3,1.5,0.5,0,Andreas,0.0,0,0,0.0,263,False,0.0,0,0,0,0,0,,44,0,0,0,156689.jpg,0.0,0,0,Pereira,0.1,False,44.0,a,11,1,0.0,0,245,175,734,357,0.0,0.0,Pereira,0,0.0,0.0,0.0,0.0,Mid
263,0,0,3,,,0,42774,-1,1,-1,1,0.6,0,317,3,2.0,1.0,0,Morgan,0.5,0,0,0.1,264,False,0.2,0,0,0,0,6,,49,0,0,0,42774.jpg,1.0,0,0,Schneiderlin,0.3,False,28.0,a,11,1,0.0,1,530,157,4157,2062,0.1,0.2,Schneiderlin,0,0.012244897959183673,0.004081632653061225,0.0,1.4,Mid
