,assists,bonus,bps,chance_of_playing_this_round,clean_sheets,code,creativity,dreamteam_count,ea_index,element_type,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id_x,in_dreamteam,influence,loans_out,minutes,now_cost,own_goals,penalties_missed,penalties_saved,points_per_game,red_cards,saves,second_name,selected_by_percent,status,team,threat,total_points,transfers_in,transfers_out,value_season,yellow_cards,singular_name_short,team_id,team_name,matchup,opponent_name,creativecost,influencecost,threatcost,myscore
1,0,0,121,,3,11334,0.0,0,409,1,6,Petr,4.3,7,0,11.7,2,False,115.8,0,630,55,1,0,0,3.6,0,19,Cech,16.8,a,1,0.0,25,125138,162204,4.5,1,GKP,1,Arsenal,1.5,Burnley,0.0,2.1054545454545455,0.0,771.9099999999999
2,0,6,172,100.0,3,51507,4.3,2,493,2,15,Laurent,7.7,3,2,27.9,3,True,212.6,0,540,62,0,0,0,7.0,0,0,Koscielny,12.1,a,1,61.0,42,287576,66064,6.9,0,DEF,1,Arsenal,1.5,Burnley,0.06935483870967742,3.429032258064516,0.9838709677419355,3251.745000000001
5,1,5,143,,3,98745,133.4,1,541,2,6,Héctor,6.3,7,0,30.3,6,False,113.6,0,630,65,0,0,0,4.6,0,0,Bellerín,25.5,a,1,57.0,32,148810,289213,4.9,0,DEF,1,Arsenal,1.5,Burnley,2.0523076923076924,1.7476923076923077,0.8769230769230769,2904.8
6,0,0,11,,0,42427,29.0,0,69,2,0,Kieran,0.3,0,0,4.6,7,False,13.2,0,39,48,0,0,0,1.0,0,0,Gibbs,0.5,a,1,4.0,2,2656,13459,0.4,0,DEF,1,Arsenal,1.5,Burnley,0.6041666666666666,0.27499999999999997,0.08333333333333333,22.790000000000003
9,0,4,156,100.0,3,38411,48.8,0,511,2,7,Nacho,5.0,7,0,20.5,10,False,116.8,0,613,60,0,0,0,3.9,0,0,Monreal,4.7,a,1,39.0,27,32554,88730,4.5,1,DEF,1,Arsenal,1.5,Burnley,0.8133333333333332,1.9466666666666665,0.65,1561.5000000000002
10,0,0,61,,1,156074,1.5,0,0,2,0,Rob,0.0,5,0,8.8,484,False,74.4,0,270,44,0,0,0,2.3,0,0,Holding,0.8,a,1,12.0,7,37878,47532,1.6,1,DEF,1,Arsenal,1.5,Burnley,0.03409090909090909,1.6909090909090911,0.2727272727272727,7.0
11,0,2,104,,2,69140,13.5,0,0,2,8,Shkodran,5.3,2,0,17.4,555,False,113.6,0,360,60,0,0,0,4.5,0,0,Mustafi,0.9,a,1,46.0,18,33765,8762,3.0,0,DEF,1,Arsenal,1.5,Burnley,0.225,1.8933333333333333,0.7666666666666667,1394.145
12,3,6,157,100.0,3,37265,293.9,2,690,3,3,Alexis,9.0,6,4,89.8,12,True,239.6,0,557,113,0,1,0,7.0,0,0,Sánchez,22.1,a,1,363.0,49,670553,196418,4.4,0,MID,1,Arsenal,1.5,Burnley,2.6008849557522122,2.120353982300885,3.2123893805309733,12151.75
13,3,3,149,100.0,3,20467,134.6,1,316,3,6,Theo,9.0,7,3,68.9,13,False,212.2,0,611,77,0,1,0,6.0,0,0,Walcott,8.2,a,1,345.0,42,316909,86510,5.5,0,MID,1,Arsenal,1.5,Burnley,1.748051948051948,2.7558441558441555,4.48051948051948,9381.300000000001
14,0,3,106,100.0,2,37605,231.8,0,783,3,3,Mesut,5.0,3,2,54.4,14,False,138.4,0,447,95,0,0,0,4.3,0,0,Özil,7.4,a,1,173.0,26,222192,172949,2.7,0,MID,1,Arsenal,1.5,Burnley,2.44,1.456842105263158,1.8210526315789475,4100.0
