,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
15,0,0,5,0.0,0.0,0,41792,-1,1,-3,3,4.9,0,558,3,0.0,0.0,0,Aaron,0.0,3,0,3.0,16,False,2.2,0,0,0,0,60,Hamstring injury - Expected back 24 Sep,77,0,0,0,41792.jpg,2.0,0,0,Ramsey,1.2,False,8.0,i,1,3,23.0,2,2030,40,127069,1516,0.0,0.3,Ramsey,0
16,0,0,18,100.0,100.0,0,54102,0,0,-1,1,32.0,0,18,3,-0.5,-0.5,2,Jack,1.0,4,0,5.8,17,False,14.4,0,0,0,0,134,,59,0,0,0,54102.jpg,1.0,0,0,Wilshere,1.1,False,32.0,a,2,91,12.0,4,49818,710,18735,4514,0.2,0.7,Wilshere,1
17,0,0,51,,,1,81880,0,0,0,0,45.8,0,186,3,1.3,1.8,0,Alex,1.3,3,1,18.2,18,False,56.6,0,0,0,0,239,,60,0,0,0,81880.jpg,3.3,0,0,Oxlade-Chamberlain,2.0,False,15.0,a,1,3,79.0,13,56556,320,59784,8979,0.2,2.2,Chamberlain,0
18,0,0,0,0.0,0.0,0,133798,0,0,0,0,0.0,0,4,3,0.0,0.0,0,Serge,0.0,0,0,0.0,19,False,0.0,0,0,0,0,0,Joined Werder Bremen on 31/8,50,0,0,0,133798.jpg,0.0,0,0,Gnabry,0.0,False,27.0,u,1,3,0.0,0,181,5,575,26,0.0,0.0,Gnabry,0
19,0,0,42,,,1,56864,-1,1,-1,1,70.2,0,246,3,1.3,1.8,2,Francis,1.3,6,0,14.0,20,False,47.0,0,0,0,0,360,,44,0,0,0,56864.jpg,1.8,0,0,Coquelin,2.1,False,34.0,a,1,3,22.0,7,22408,3841,36682,3241,0.3,1.6,Coquelin,2
20,3,2,57,100.0,100.0,1,153133,0,0,-2,2,77.6,0,150,3,4.0,4.5,11,Alex,4.0,3,0,24.4,21,False,71.4,0,0,0,0,150,,58,0,0,0,153133.jpg,5.0,0,0,Iwobi,0.6,False,17.0,a,1,3,95.0,15,11747,8779,39500,840,0.7,2.6,Iwobi,1
21,1,0,36,,,0,153256,0,0,-2,2,19.5,0,134,3,1.7,2.2,4,Mohamed,1.7,5,0,5.2,22,False,31.2,0,0,0,0,101,,48,0,0,0,153256.jpg,2.3,0,0,Elneny,0.6,False,35.0,a,1,3,2.0,7,4912,335,18893,1094,0.4,1.5,Elneny,0
22,0,0,0,0.0,0.0,0,99127,0,0,-1,1,0.0,0,175,3,0.0,0.0,0,Joel,0.0,0,0,0.0,23,False,0.0,0,0,0,0,0,Joined Sporting Lisbon in season-long loan deal,59,0,0,0,99127.jpg,0.0,0,0,Campbell,0.1,False,28.0,u,1,3,0.0,0,208,0,4363,58,0.0,0.0,Campbell,0
23,0,0,45,,,1,84450,0,0,-2,2,67.8,0,0,3,2.7,3.2,6,Granit,2.7,2,1,14.2,24,False,61.2,0,0,0,0,210,,53,0,0,0,84450.jpg,2.8,0,0,Xhaka,4.2,False,29.0,a,1,3,16.0,11,29316,4761,130050,4823,0.5,2.1,Xhaka,1
24,1,0,11,50.0,75.0,0,44346,0,0,0,0,12.8,0,629,4,0.7,1.4,0,Olivier,1.3,0,0,3.5,25,False,2.2,0,0,0,0,42,Toe Injury - 50% chance of playing,90,0,0,0,44346.jpg,2.5,0,0,Giroud,1.3,False,12.0,d,1,3,20.0,5,34938,214,47875,7407,0.1,0.6,Giroud,0
