,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,creativecost,influencecost,threatcost,myscore
10,0,0,26,,,0,101184,0,0,0,0,0.5,0,70,2,-2.0,-1.0,0,Calum,0.0,4,1,7.6,11,False,48.8,0,0,0,0,90,,45,0,0,0,101184.jpg,6.0,0,0,Chambers,3.9,False,25.0,a,12,25,27.0,6,77218,1327,75751,12215,0.0,1.3,Chambers,0,0.011111111111111112,1.0844444444444443,0.6,6.0
11,2,3,58,100.0,100.0,1,37265,0,0,0,0,106.9,1,690,3,6.7,8.2,1,Alexis,6.7,5,1,32.3,12,False,75.6,0,0,0,0,299,,110,0,0,0,37265.jpg,5.5,0,0,Sánchez,13.4,False,7.0,a,1,3,139.0,22,276721,18795,138343,43744,0.6,2.0,Sánchez,0,0.9718181818181819,0.6872727272727273,1.2636363636363637,2176.05
12,1,0,58,75.0,,1,20467,0,0,0,0,72.7,0,316,3,2.5,4.8,2,Theo,3.3,6,1,34.5,13,False,99.6,0,0,0,0,344,Knee injury - 75% chance of playing,75,0,1,0,20467.jpg,3.8,0,0,Walcott,2.2,False,14.0,d,1,3,175.0,15,68342,1408,63962,30880,0.4,2.0,Walcott,0,0.9693333333333334,1.3279999999999998,2.3333333333333335,1161.09
13,0,1,49,100.0,100.0,0,37605,0,0,1,-1,99.8,0,783,3,3.7,5.2,2,Mesut,3.7,2,1,22.3,14,False,66.4,0,0,0,0,177,,96,0,0,0,37605.jpg,3.7,0,0,Özil,8.3,False,11.0,a,1,3,57.0,11,174370,10350,86037,23004,0.4,1.1,Özil,0,1.0395833333333333,0.6916666666666668,0.59375,836.84
14,2,5,107,100.0,100.0,1,19524,1,-1,2,-2,129.7,0,259,3,7.0,8.5,9,Santiago,7.0,3,2,33.5,15,True,139.8,0,0,0,0,282,,77,0,0,0,19524.jpg,7.0,0,0,Cazorla,8.1,False,19.0,a,1,3,66.0,28,264282,109540,48192,10181,0.9,3.7,Cazorla,1,1.6844155844155844,1.8155844155844156,0.8571428571428571,2376.5
15,0,0,5,0.0,0.0,0,41792,0,0,-2,2,4.9,0,558,3,0.0,0.0,0,Aaron,0.0,3,0,3.0,16,False,2.2,0,0,0,0,60,Hamstring injury - Expected back 24 Sep,78,0,0,0,41792.jpg,2.0,0,0,Ramsey,1.3,False,8.0,i,1,3,23.0,2,1987,70,125262,3472,0.0,0.3,Ramsey,0,0.06282051282051282,0.02820512820512821,0.2948717948717949,2.0
16,0,0,12,100.0,100.0,0,54102,0,0,-1,1,20.2,0,18,3,-0.8,0.2,1,Jack,0.7,0,0,4.2,17,False,12.2,0,0,0,0,67,,59,0,0,0,54102.jpg,0.7,0,0,Wilshere,1.2,False,32.0,a,2,91,10.0,2,48933,3669,13719,6438,0.1,0.3,Wilshere,1,0.3423728813559322,0.20677966101694914,0.1694915254237288,31.679999999999996
17,0,0,51,,,1,81880,0,0,0,0,45.8,0,186,3,2.3,3.8,2,Alex,2.3,3,1,18.2,18,False,56.6,0,0,0,0,239,,60,0,0,0,81880.jpg,3.3,0,0,Oxlade-Chamberlain,2.3,False,15.0,a,1,3,79.0,13,56108,2064,49959,12888,0.4,2.2,Chamberlain,0,0.7633333333333333,0.9433333333333334,1.3166666666666667,430.2199999999999
18,0,0,0,0.0,0.0,0,133798,0,0,0,0,0.0,0,4,3,0.0,0.0,0,Serge,0.0,0,0,0.0,19,False,0.0,0,0,0,0,0,Joined Werder Bremen on 31/8,50,0,0,0,133798.jpg,0.0,0,0,Gnabry,0.0,False,27.0,u,1,3,0.0,0,176,7,548,86,0.0,0.0,Gnabry,0,0.0,0.0,0.0,0.0
19,0,0,32,,,1,56864,0,0,0,0,41.9,0,246,3,1.3,2.8,2,Francis,1.3,5,0,7.8,20,False,33.4,0,0,0,0,270,,45,0,0,0,56864.jpg,1.7,0,0,Coquelin,2.1,False,34.0,a,1,3,2.0,5,18468,2025,33093,5794,0.3,1.1,Coquelin,2,0.9311111111111111,0.7422222222222222,0.044444444444444446,105.49
20,1,0,17,100.0,100.0,0,153133,0,0,-2,2,29.2,0,150,3,0.3,1.8,1,Alex,0.3,3,0,5.0,21,False,20.4,0,0,0,0,74,,58,0,0,0,153133.jpg,2.0,0,0,Iwobi,0.4,False,17.0,a,1,3,0.0,4,2864,999,38542,1216,0.1,0.7,Iwobi,1,0.503448275862069,0.35172413793103446,0.0,18.879999999999995
21,0,0,23,,,0,153256,-1,1,-2,2,7.5,0,134,3,0.3,1.8,0,Mohamed,0.3,4,0,2.0,22,False,13.0,0,0,0,0,87,,48,0,0,0,153256.jpg,1.5,0,0,Elneny,0.6,False,35.0,a,1,3,0.0,3,4564,263,17704,3224,0.1,0.6,Elneny,0,0.15625,0.2708333333333333,0.0,9.149999999999999
22,0,0,0,0.0,0.0,0,99127,0,0,-1,1,0.0,0,175,3,0.0,0.0,0,Joel,0.0,0,0,0.0,23,False,0.0,0,0,0,0,0,Joined Sporting Lisbon in season-long loan deal,59,0,0,0,99127.jpg,0.0,0,0,Campbell,0.1,False,28.0,u,1,3,0.0,0,208,6,4292,217,0.0,0.0,Campbell,0,0.0,0.0,0.0,0.0
23,0,0,16,,,1,84450,-1,1,-2,2,38.1,0,0,3,1.7,3.2,0,Granit,1.7,1,0,5.7,24,False,20.8,0,0,0,0,186,,53,0,0,0,84450.jpg,1.7,0,0,Xhaka,4.3,False,29.0,a,1,3,1.0,5,24456,1450,123668,28507,0.3,0.9,Xhaka,1,0.718867924528302,0.39245283018867927,0.018867924528301886,106.83000000000001
24,1,0,11,75.0,100.0,0,44346,0,0,0,0,12.8,0,629,4,1.3,3.2,4,Olivier,1.7,0,0,3.5,25,False,2.2,0,0,0,0,42,Toe Injury - 75% chance of playing,90,0,0,0,44346.jpg,2.5,0,0,Giroud,1.5,False,12.0,d,1,3,20.0,5,34658,2880,38516,11154,0.2,0.6,Giroud,0,0.14222222222222222,0.024444444444444446,0.2222222222222222,64.5
25,0,0,0,0.0,0.0,0,50175,0,0,-1,1,0.0,0,164,4,0.0,0.0,0,Danny,0.0,0,0,0.0,26,False,0.0,0,0,0,0,0,Knee injury - Expected back 04 Feb,74,0,0,0,50175.jpg,0.0,0,0,Welbeck,0.1,False,23.0,i,1,3,0.0,0,436,48,1840,153,0.0,0.0,Welbeck,0,0.0,0.0,0.0,0.0
