,assists,bonus,bps,chance_of_playing_this_round,clean_sheets,code,creativity,dreamteam_count,ea_index,element_type,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id_x,in_dreamteam,influence,loans_out,minutes,now_cost,own_goals,penalties_missed,penalties_saved,points_per_game,red_cards,saves,second_name,selected_by_percent,status,team,threat,total_points,transfers_in,transfers_out,value_season,yellow_cards,singular_name_short,team_id,team_name,matchup,opponent_name,creativecost,influencecost,threatcost,myscore
50,0,0,14,100.0,0,59741,5.8,0,155,3,0,Max,0.0,0,0,7.3,44,False,18.0,0,95,51,0,0,0,0.8,0,0,Gradel,0.1,a,2,53.0,4,937,12376,0.8,1,MID,2,Bournemouth,1.0,Sunderland,0.11372549019607843,0.35294117647058826,1.0392156862745099,4.0
52,0,0,81,,3,103912,206.3,0,184,3,1,Jordon,1.0,10,0,44.9,46,False,63.2,0,665,51,0,0,0,1.8,0,0,Ibe,1.6,a,2,180.0,20,23620,142786,3.9,0,MID,2,Bournemouth,1.0,Sunderland,4.045098039215686,1.2392156862745098,3.5294117647058822,469.5
53,0,0,10,0.0,0,155408,14.3,0,0,3,0,Lewis,0.0,3,0,2.5,47,False,7.0,0,80,43,0,0,0,2.0,0,0,Cook,0.4,i,2,4.0,2,6177,16047,0.5,0,MID,2,Bournemouth,1.0,Sunderland,0.3325581395348837,0.16279069767441862,0.09302325581395349,2.0
54,1,2,102,100.0,2,78007,101.0,0,321,3,1,Joshua,2.0,14,2,54.9,48,False,164.4,0,758,54,0,0,0,3.4,0,0,King,0.9,a,2,282.0,34,43182,39532,6.3,1,MID,2,Bournemouth,1.0,Sunderland,1.8703703703703705,3.0444444444444447,5.222222222222222,1128.8
55,0,0,24,100.0,1,90105,50.3,0,0,3,1,Ryan,1.0,1,0,7.5,536,False,7.4,0,215,49,0,0,0,1.6,0,0,Fraser,0.0,a,2,18.0,8,288,257,1.6,0,MID,2,Bournemouth,1.0,Sunderland,1.0265306122448978,0.1510204081632653,0.3673469387755102,83.69999999999999
56,1,2,92,,5,75115,93.5,0,165,4,0,Callum,1.0,10,3,49.9,49,False,121.6,0,749,66,0,0,0,3.5,0,0,Wilson,4.2,d,2,295.0,35,216479,162549,5.3,0,FWD,2,Bournemouth,1.0,Sunderland,1.4166666666666667,1.8424242424242423,4.46969696969697,545.1
58,1,0,17,,0,21246,11.8,0,124,4,0,Lewis,0.0,2,0,5.3,51,False,24.2,0,60,44,0,0,0,2.0,0,0,Grabban,3.7,a,2,17.0,6,94559,126658,1.4,0,FWD,2,Bournemouth,1.0,Sunderland,0.2681818181818182,0.5499999999999999,0.38636363636363635,6.0
59,0,0,13,100.0,0,88498,70.5,0,146,4,1,Benik,1.0,1,0,14.1,52,False,12.8,0,115,56,0,0,0,1.0,0,0,Afobe,0.3,a,2,58.0,7,4797,20736,1.3,0,FWD,2,Bournemouth,1.0,Sunderland,1.2589285714285714,0.2285714285714286,1.0357142857142858,148.3
60,0,0,0,,0,178304,11.8,0,0,4,1,Lys,0.3,0,0,2.1,53,False,0.0,0,15,52,0,0,0,1.0,0,0,Mousset,0.1,a,2,10.0,1,823,2396,0.2,0,FWD,2,Bournemouth,1.0,Sunderland,0.22692307692307695,0.0,0.19230769230769232,7.54
61,0,7,259,100.0,3,21205,0.0,3,0,1,2,Tom,5.7,15,0,42.4,54,True,423.0,0,990,48,0,0,0,4.7,0,61,Heaton,14.7,a,3,0.0,52,448440,94933,11.1,1,GKP,3,Burnley,0.8,Crystal Palace,0.0,8.8125,0.0,1980.88
64,0,2,188,,3,68983,163.8,0,0,2,1,Matthew,3.0,15,0,41.1,55,False,217.2,0,990,45,0,0,0,2.6,0,0,Lowton,0.8,a,3,31.0,29,29559,13266,6.4,3,DEF,3,Burnley,0.8,Crystal Palace,3.64,4.826666666666666,0.6888888888888889,1017.8000000000001
65,1,0,204,,3,51927,35.5,0,0,2,1,Ben,3.0,15,0,36.5,56,False,295.2,0,990,45,1,0,0,2.7,0,0,Mee,1.3,a,3,32.0,30,41168,18420,6.7,1,DEF,3,Burnley,0.8,Crystal Palace,0.7888888888888889,6.56,0.7111111111111111,900.48
66,0,0,137,0.0,2,40616,79.5,0,0,2,0,Stephen,1.0,13,0,20.7,57,False,124.8,0,845,44,0,0,0,2.3,0,0,Ward,0.3,d,3,3.0,23,14810,9548,5.1,1,DEF,3,Burnley,0.8,Crystal Palace,1.8068181818181819,2.8363636363636364,0.06818181818181818,188.84000000000003
67,0,2,215,,3,106611,42.2,1,0,2,1,Michael,3.0,15,1,54.1,58,False,392.2,0,990,49,0,0,0,3.4,0,0,Keane,2.6,a,3,105.0,37,84387,31944,7.6,1,DEF,3,Burnley,0.8,Crystal Palace,0.8612244897959185,8.004081632653062,2.142857142857143,1331.56
68,0,0,4,,0,17761,3.1,0,0,2,1,James,0.7,2,0,1.2,59,False,6.4,0,53,40,0,0,0,0.7,0,0,Tarkowski,2.1,a,3,6.0,2,44445,34735,0.5,1,DEF,3,Burnley,0.8,Crystal Palace,0.0775,0.16,0.15,10.68
70,0,0,22,100.0,0,91979,12.7,0,67,2,1,Jon,0.7,2,0,4.5,194,False,31.8,0,145,43,0,0,0,0.7,0,0,Flanagan,0.3,a,3,0.0,2,2693,13114,0.5,1,DEF,3,Burnley,0.8,Crystal Palace,0.29534883720930233,0.7395348837209302,0.0,26.92
73,0,0,8,0.0,0,19556,11.7,0,0,3,0,David,0.0,1,0,1.3,61,False,0.0,0,86,50,0,0,0,1.0,0,0,Jones,0.0,u,3,2.0,1,100,2828,0.2,1,MID,3,Burnley,0.8,Crystal Palace,0.23399999999999999,0.0,0.04,1.0
74,0,0,88,100.0,2,28244,60.6,0,0,3,1,George,0.7,13,0,24.3,62,False,79.0,0,742,52,0,0,0,2.0,0,0,Boyd,0.1,a,3,104.0,20,1760,7726,3.8,0,MID,3,Burnley,0.8,Crystal Palace,1.1653846153846155,1.5192307692307692,2.0,156.416
75,1,3,86,,3,39158,105.6,1,0,3,2,Scott,5.7,8,1,22.7,63,False,76.2,0,572,52,0,0,0,2.7,0,0,Arfield,0.1,a,3,46.0,27,2717,4564,5.2,2,MID,3,Burnley,0.8,Crystal Palace,2.0307692307692307,1.4653846153846155,0.8846153846153846,1065.768
76,1,1,139,100.0,3,15982,36.4,0,0,3,1,Dean,1.7,14,0,21.9,64,False,139.2,0,971,45,0,0,0,2.4,0,0,Marney,1.0,a,3,41.0,26,52190,25888,5.8,3,MID,3,Burnley,0.8,Crystal Palace,0.8088888888888889,3.0933333333333333,0.9111111111111111,320.57599999999996
78,0,0,14,,0,15944,8.6,0,0,3,0,Michael,0.7,1,0,1.5,66,False,2.8,0,95,43,0,0,0,1.3,0,0,Kightly,0.4,a,3,4.0,4,8197,9022,0.9,0,MID,3,Burnley,0.8,Crystal Palace,0.19999999999999998,0.06511627906976744,0.09302325581395349,12.623999999999999
79,2,3,133,,3,60586,202.3,1,0,3,13,Johann Berg,7.0,10,1,47.6,473,False,155.4,0,707,51,0,0,0,3.2,0,0,Gudmundsson,0.3,a,3,117.0,35,8506,9334,6.9,0,MID,3,Burnley,0.8,Crystal Palace,3.966666666666667,3.047058823529412,2.2941176470588234,2693.32
80,3,6,144,100.0,3,39847,190.6,0,0,3,2,Steven,0.7,5,1,41.3,525,False,159.8,0,504,60,0,0,0,4.4,0,0,Defour,0.3,a,3,61.0,35,27838,23100,5.8,1,MID,3,Burnley,0.8,Crystal Palace,3.1766666666666667,2.6633333333333336,1.0166666666666666,265.384
81,0,0,16,,0,234483,5.1,0,0,3,0,Aiden,0.0,4,0,2.1,531,False,7.6,0,85,44,0,0,0,1.0,0,0,O'Neill,0.0,a,3,8.0,3,1088,929,0.7,0,MID,3,Burnley,0.8,Crystal Palace,0.1159090909090909,0.17272727272727273,0.18181818181818182,3.0
82,0,0,70,,2,83314,45.3,0,0,3,2,Jeff,2.0,11,1,20.2,560,False,76.4,0,641,54,0,0,0,2.6,0,0,Hendrick,0.0,a,3,79.0,21,3110,1720,3.9,1,MID,3,Burnley,0.8,Crystal Palace,0.8388888888888888,1.414814814814815,1.462962962962963,342.12
83,1,6,140,,3,40399,102.8,0,0,4,11,Sam,6.7,13,4,63.4,67,False,202.2,0,916,62,0,0,0,4.2,0,0,Vokes,3.7,a,3,332.0,46,168267,52115,7.5,0,FWD,3,Burnley,0.8,Crystal Palace,1.6580645161290322,3.261290322580645,5.354838709677419,3460.3200000000006
84,1,1,36,100.0,2,73426,64.8,0,0,4,0,Andre,0.3,7,1,20.4,68,False,56.2,0,486,62,0,0,0,3.2,0,0,Gray,3.0,a,3,88.0,19,141969,462502,3.1,0,FWD,3,Burnley,0.8,Crystal Palace,1.0451612903225806,0.9064516129032258,1.4193548387096775,69.16
85,0,0,5,0.0,0,34654,1.0,0,0,4,0,Lukas,0.0,0,0,0.3,69,False,0.4,0,13,44,0,0,0,1.0,0,0,Jutkiewicz,0.5,n,3,2.0,2,8342,19227,0.5,0,FWD,3,Burnley,0.8,Crystal Palace,0.022727272727272728,0.009090909090909092,0.045454545454545456,2.0
86,0,1,32,100.0,0,44699,11.6,0,0,4,6,Ashley,2.3,0,1,7.3,70,False,34.2,0,36,44,0,0,0,3.5,0,0,Barnes,0.7,a,3,27.0,7,26969,7633,1.6,0,FWD,3,Burnley,0.8,Crystal Palace,0.2636363636363636,0.7772727272727273,0.6136363636363636,140.95199999999997
89,0,0,9,,0,106617,6.9,0,0,4,0,Patrick,0.3,1,0,1.3,553,False,0.2,0,35,50,0,0,0,1.0,0,0,Bamford,0.1,a,3,8.0,4,3089,2007,0.8,0,FWD,3,Burnley,0.8,Crystal Palace,0.138,0.004,0.16,7.624
90,0,0,183,,6,60772,0.0,1,230,1,6,Thibaut,6.3,9,0,11.6,73,False,116.2,0,990,55,0,0,0,4.1,0,17,Courtois,10.0,a,4,0.0,45,152936,157276,8.2,1,GKP,4,Chelsea,1.2,Everton,0.0,2.112727272727273,0.0,923.4719999999999
92,0,0,66,100.0,1,1718,23.1,0,228,2,1,John,0.3,4,0,13.3,75,False,64.6,0,367,53,0,0,0,2.2,0,0,Terry,2.0,a,4,46.0,11,56396,167980,2.1,1,DEF,4,Chelsea,1.2,Everton,0.4358490566037736,1.2188679245283018,0.8679245283018868,59.13199999999999
93,1,2,120,100.0,1,41135,68.5,0,414,2,0,Branislav,0.3,9,0,28.5,76,False,105.8,0,544,58,0,0,0,2.4,0,0,Ivanovic,3.6,a,4,112.0,17,31314,157846,2.9,2,DEF,4,Chelsea,1.2,Everton,1.1810344827586208,1.8241379310344827,1.9310344827586208,120.068
94,1,7,272,,6,41328,103.4,0,470,2,6,César,7.0,9,0,38.7,77,True,225.4,0,990,61,0,0,0,4.6,0,0,Azpilicueta,14.2,a,4,56.0,51,272276,219617,8.5,2,DEF,4,Chelsea,1.2,Everton,1.6950819672131148,3.695081967213115,0.9180327868852459,3283.3199999999993
95,0,2,229,,6,19419,31.1,1,283,2,6,Gary,8.7,9,1,34.8,78,False,201.0,0,983,61,0,0,0,4.5,0,0,Cahill,8.0,a,4,116.0,50,151436,89101,8.3,1,DEF,4,Chelsea,1.2,Everton,0.5098360655737705,3.2950819672131146,1.901639344262295,3684.1639999999998
99,0,0,3,100.0,0,159506,0.3,0,0,2,0,Ola,0.0,0,0,0.2,487,False,1.6,0,9,47,0,0,0,1.0,0,0,Aina,0.1,a,4,0.0,1,383,4190,0.2,0,DEF,4,Chelsea,1.2,Everton,0.006382978723404255,0.03404255319148936,0.0,1.0
100,1,1,159,,5,82263,125.0,1,0,2,13,Marcos,9.0,0,1,34.9,561,False,128.4,0,486,60,0,0,0,6.7,0,0,Alonso,3.9,a,4,95.0,40,153760,6045,6.7,1,DEF,4,Chelsea,1.2,Everton,2.0833333333333335,2.14,1.5833333333333333,3802.72
101,0,0,169,,5,41270,53.4,0,0,2,6,David,5.7,5,0,28.3,570,False,150.8,0,630,60,0,0,0,4.4,0,0,Luiz Moreira Marinho,2.1,a,4,78.0,31,80340,27916,5.2,1,DEF,4,Chelsea,1.2,Everton,0.89,2.5133333333333336,1.3,1961.2479999999998
102,3,12,294,,6,42786,342.8,3,476,3,19,Eden,13.7,9,7,117.6,82,True,386.2,0,911,101,0,0,0,7.5,0,0,Hazard,29.4,a,4,447.0,82,1133489,808821,8.2,2,MID,4,Chelsea,1.2,Everton,3.394059405940594,3.8237623762376236,4.425742574257426,19415.44
103,1,0,41,0.0,0,17878,69.6,0,617,3,0,Cesc,0.0,3,0,14.2,83,False,42.4,0,89,69,0,0,0,1.8,0,0,Fàbregas,1.6,a,4,30.0,7,25006,210830,1.0,0,MID,4,Chelsea,1.2,Everton,1.008695652173913,0.6144927536231883,0.43478260869565216,7.0
104,1,0,98,100.0,1,61262,197.1,0,321,3,1,Oscar,0.3,6,0,42.1,84,False,97.0,0,446,72,0,0,0,2.1,0,0,dos Santos Emboaba Junior,0.7,a,4,128.0,15,22268,59803,2.1,1,MID,4,Chelsea,1.2,Everton,2.7375,1.3472222222222223,1.7777777777777777,166.956
106,0,5,143,100.0,2,47431,388.1,2,512,3,0,Willian,0.7,8,2,67.2,86,False,147.4,0,497,72,0,0,0,3.8,0,0,Borges Da Silva,3.7,a,4,136.0,30,113277,348099,4.2,1,MID,4,Chelsea,1.2,Everton,5.390277777777778,2.0472222222222225,1.8888888888888888,594.06
107,6,0,218,,6,62398,199.3,0,373,3,6,Nemanja,5.0,9,0,56.8,87,False,228.0,0,955,51,0,0,0,4.0,0,0,Matic,4.5,a,4,140.0,44,141038,77194,8.6,2,MID,4,Chelsea,1.2,Everton,3.9078431372549023,4.470588235294118,2.7450980392156863,3447.7999999999997
108,0,0,3,,0,126187,0.0,0,68,3,0,Ruben,0.0,0,0,0.0,88,False,0.2,0,9,51,0,0,0,1.0,0,0,Loftus-Cheek,0.1,a,4,0.0,1,329,3620,0.2,0,MID,4,Chelsea,1.2,Everton,0.0,0.00392156862745098,0.0,1.0
110,5,5,165,,4,49579,163.8,2,399,3,16,Pedro,10.7,1,2,48.5,90,False,197.6,0,409,72,0,0,0,4.7,0,0,Rodríguez Ledesma,2.8,a,4,131.0,47,108591,24894,6.6,2,MID,4,Chelsea,1.2,Everton,2.2750000000000004,2.7444444444444445,1.8194444444444444,6369.416
112,1,2,145,100.0,5,49013,125.4,1,127,3,3,Victor,4.0,0,2,50.7,92,False,193.6,0,492,56,0,0,0,3.4,0,0,Moses,1.5,a,4,190.0,34,66260,15848,6.1,1,MID,4,Chelsea,1.2,Everton,2.2392857142857143,3.457142857142857,3.392857142857143,2477.2
114,0,0,195,,6,116594,157.7,0,501,3,3,N'Golo,4.7,9,1,44.8,95,False,195.2,0,990,48,0,0,0,2.9,0,0,Kanté,14.4,a,4,96.0,32,146466,535689,6.7,1,MID,4,Chelsea,1.2,Everton,3.2854166666666664,4.066666666666666,2.0,2563.796
115,1,0,22,,0,89085,26.6,0,0,3,0,Nathaniel,0.3,0,0,5.9,530,False,25.2,0,45,45,0,0,0,2.0,0,0,Chalobah,0.0,a,4,7.0,6,701,439,1.3,0,MID,4,Chelsea,1.2,Everton,0.5911111111111111,0.5599999999999999,0.15555555555555556,27.168
116,1,1,47,,0,94245,16.2,0,0,4,1,Michy,1.0,0,1,15.7,96,False,57.8,0,84,86,0,0,0,2.0,0,0,Batshuayi,1.1,a,4,84.0,16,37550,101430,1.9,0,FWD,4,Chelsea,1.2,Everton,0.1883720930232558,0.6720930232558139,0.9767441860465116,205.6
117,3,10,276,100.0,6,18507,230.1,2,533,4,9,Diego,6.0,9,9,135.2,97,True,439.2,0,964,105,0,0,0,6.6,0,0,Da Silva Costa,40.7,a,4,683.0,73,1658690,424586,7.0,4,FWD,4,Chelsea,1.2,Everton,2.1914285714285713,4.182857142857142,6.504761904761905,9809.56
120,0,0,29,100.0,0,20066,0.0,0,266,1,0,Wayne,0.0,2,0,4.4,100,False,44.2,0,180,43,0,0,0,2.5,0,6,Hennessey,2.1,a,5,0.0,5,12918,100352,1.2,0,GKP,5,Crystal Palace,1.2,Burnley,0.0,1.0279069767441862,0.0,5.0
121,0,0,120,,0,44413,0.0,0,0,1,2,Steve,1.7,17,0,18.2,102,False,182.8,0,810,44,0,0,0,2.1,0,24,Mandanda,3.4,i,5,0.0,19,41471,82891,4.3,0,GKP,5,Crystal Palace,1.2,Burnley,0.0,4.154545454545455,0.0,391.912
122,0,0,90,100.0,0,49413,5.6,0,221,2,0,James,0.3,12,1,21.8,103,False,143.2,0,504,50,0,0,0,1.9,0,0,Tomkins,0.1,a,5,68.0,13,3062,2813,2.6,1,DEF,5,Crystal Palace,1.2,Burnley,0.11199999999999999,2.864,1.36,91.04799999999999
123,0,1,118,100.0,0,19188,24.9,1,480,2,1,Scott,0.3,12,2,39.4,104,False,194.0,0,630,54,0,0,0,3.3,0,0,Dann,3.8,a,5,174.0,23,72908,206072,4.3,1,DEF,5,Crystal Palace,1.2,Burnley,0.4611111111111111,3.5925925925925926,3.2222222222222223,164.444
124,1,3,170,,0,55494,84.7,0,333,2,1,Joel,0.7,19,0,37.0,105,False,197.8,0,987,49,0,0,0,2.0,0,0,Ward,0.8,a,5,87.0,22,14885,27284,4.5,1,DEF,5,Crystal Palace,1.2,Burnley,1.7285714285714286,4.036734693877551,1.7755102040816326,332.37999999999994
125,1,0,85,,0,58786,49.4,0,96,2,0,Martin,0.3,14,0,16.4,106,False,110.4,0,617,44,0,0,0,1.4,0,0,Kelly,0.8,a,5,4.0,14,33619,18834,3.2,0,DEF,5,Crystal Palace,1.2,Burnley,1.1227272727272728,2.5090909090909093,0.09090909090909091,72.96799999999999
