,assists,bonus,bps,chance_of_playing_this_round,clean_sheets,code,creativity,dreamteam_count,ea_index,element_type,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id_x,in_dreamteam,influence,loans_out,minutes,now_cost,own_goals,penalties_missed,penalties_saved,points_per_game,red_cards,saves,second_name,selected_by_percent,status,team,threat,total_points,transfers_in,transfers_out,value_season,yellow_cards,singular_name_short,team_id,team_name,matchup,opponent_name,creativecost,influencecost,threatcost,myscore
1,0,0,181,,4,11334,0.0,0,409,1,2,Petr,3.3,11,0,20.4,2,False,202.8,0,990,55,1,0,0,3.4,0,29,Cech,16.6,a,1,0.0,37,183705,235112,6.7,2,GKP,1,Arsenal,0.8,Spurs,0.0,3.6872727272727275,0.0,572.392
2,0,8,254,100.0,4,51507,6.8,2,493,2,1,Laurent,3.7,7,2,41.8,3,True,309.2,0,900,65,0,0,0,5.4,0,0,Koscielny,20.4,a,1,101.0,54,643212,123588,8.3,1,DEF,1,Arsenal,0.8,Spurs,0.10461538461538461,4.756923076923076,1.5538461538461539,1288.3200000000002
5,2,6,214,75.0,4,98745,176.1,1,541,2,2,Héctor,3.7,11,0,49.5,6,False,162.4,0,990,66,0,0,0,4.3,0,0,Bellerín,22.4,i,1,158.0,47,265342,535850,7.1,0,DEF,1,Arsenal,0.8,Spurs,2.668181818181818,2.460606060606061,2.393939393939394,1516.6400000000003
6,1,0,36,75.0,0,42427,68.7,0,69,2,0,Kieran,1.3,1,0,13.7,7,False,53.0,0,137,48,0,0,0,1.8,0,0,Gibbs,0.5,a,1,16.0,7,5058,16944,1.5,1,DEF,1,Arsenal,0.8,Spurs,1.4312500000000001,1.1041666666666667,0.3333333333333333,150.208
9,0,4,213,75.0,4,38411,77.8,0,511,2,2,Nacho,2.7,10,0,29.9,10,False,169.0,0,883,59,0,0,0,3.6,0,0,Monreal,4.0,a,1,51.0,36,54644,138141,6.1,1,DEF,1,Arsenal,0.8,Spurs,1.31864406779661,2.864406779661017,0.864406779661017,679.248
10,0,0,61,,1,156074,1.5,0,0,2,0,Rob,0.0,5,0,8.8,484,False,74.4,0,270,42,0,0,0,2.3,0,0,Holding,0.6,a,1,12.0,7,39232,57997,1.7,1,DEF,1,Arsenal,0.8,Spurs,0.03571428571428571,1.7714285714285716,0.2857142857142857,7.0
11,0,2,167,,3,69140,36.8,0,0,2,2,Shkodran,3.0,6,0,29.0,555,False,173.6,0,720,60,0,0,0,3.5,0,0,Mustafi,1.8,a,1,78.0,28,75318,23368,4.7,1,DEF,1,Arsenal,0.8,Spurs,0.6133333333333333,2.893333333333333,1.3,720.16
12,4,8,220,100.0,4,37265,413.5,3,690,3,2,Alexis,6.0,10,6,127.7,12,True,357.2,0,908,113,0,1,0,6.5,0,0,Sánchez,22.8,a,1,504.0,72,910890,406483,6.3,1,MID,1,Arsenal,0.8,Spurs,3.65929203539823,3.1610619469026546,4.460176991150442,6190.560000000001
13,3,4,192,75.0,4,20467,186.4,2,316,3,2,Theo,1.7,10,5,100.1,13,False,308.4,0,861,78,0,1,0,6.0,0,0,Walcott,12.4,a,1,509.0,60,950755,560279,7.7,0,MID,1,Arsenal,0.8,Spurs,2.3897435897435897,3.9538461538461536,6.5256410256410255,1425.168
14,2,6,204,100.0,3,37605,465.2,0,783,3,5,Mesut,4.3,7,3,99.3,14,False,236.4,0,799,96,0,0,0,4.9,0,0,Özil,9.2,a,1,291.0,49,345498,240029,5.1,0,MID,1,Arsenal,0.8,Spurs,4.845833333333333,2.4625,3.03125,3463.544
15,2,5,159,50.0,4,19524,221.7,0,259,3,0,Santiago,0.0,5,2,50.8,15,False,198.2,0,618,71,0,0,0,4.8,0,0,Cazorla,2.3,i,1,89.0,38,329235,340944,5.3,2,MID,1,Arsenal,0.8,Spurs,3.1225352112676057,2.7915492957746477,1.2535211267605635,38.0
16,1,0,20,100.0,0,41792,29.1,0,558,3,1,Aaron,1.7,3,0,8.3,16,False,18.2,0,100,76,0,0,0,2.3,0,0,Ramsey,1.0,a,1,37.0,7,5594,136369,0.9,0,MID,1,Arsenal,0.8,Spurs,0.3828947368421053,0.2394736842105263,0.4868421052631579,121.64800000000001
17,1,0,101,,1,81880,117.8,0,186,3,1,Alex,2.3,4,1,37.5,18,False,98.4,0,381,58,0,0,0,2.4,0,0,Oxlade-Chamberlain,1.3,a,1,158.0,22,66303,94642,3.8,0,MID,1,Arsenal,0.8,Spurs,2.0310344827586206,1.696551724137931,2.7241379310344827,710.5279999999999
19,0,0,90,100.0,2,56864,111.5,0,246,3,2,Francis,2.3,8,0,22.7,20,False,82.0,0,656,43,0,0,0,1.8,0,0,Coquelin,2.3,a,1,33.0,16,65457,72033,3.7,2,MID,1,Arsenal,0.8,Spurs,2.5930232558139537,1.9069767441860466,0.7674418604651163,432.76
20,3,2,121,100.0,4,153133,194.2,0,150,3,2,Alex,2.3,7,0,46.9,21,False,100.6,0,558,58,0,0,0,3.3,0,0,Iwobi,1.2,a,1,174.0,30,80197,90307,5.2,1,MID,1,Arsenal,0.8,Spurs,3.348275862068965,1.7344827586206895,3.0,892.5920000000001
21,1,0,72,,1,153256,64.1,0,134,3,0,Mohamed,1.7,6,0,14.5,22,False,60.0,0,284,46,0,0,0,2.2,0,0,Elneny,0.5,a,1,22.0,13,7292,25856,2.8,0,MID,1,Arsenal,0.8,Spurs,1.393478260869565,1.3043478260869565,0.4782608695652174,211.696
23,0,1,103,100.0,2,84450,116.0,0,0,3,3,Granit,1.0,5,1,24.7,24,False,101.0,0,498,52,0,0,0,2.1,1,0,Xhaka,3.0,a,1,32.0,17,61787,212309,3.3,1,MID,1,Arsenal,0.8,Spurs,2.230769230769231,1.9423076923076923,0.6153846153846154,216.20000000000002
25,0,0,5,,0,154043,0.0,0,0,3,0,Ainsley,0.3,0,0,0.2,593,False,2.2,0,2,45,0,0,0,1.0,0,0,Maitland-Niles,0.0,a,1,0.0,1,30,18,0.2,0,MID,1,Arsenal,0.8,Spurs,0.0,0.04888888888888889,0.0,1.528
26,1,3,67,100.0,0,44346,25.7,1,629,4,1,Olivier,4.3,0,2,18.0,25,False,71.0,0,97,88,0,0,0,3.8,0,0,Giroud,1.5,a,1,85.0,19,76370,82283,2.2,0,FWD,1,Arsenal,0.8,Spurs,0.29204545454545455,0.8068181818181818,0.9659090909090909,644.048
31,0,0,15,0.0,0,155851,23.8,0,0,4,0,Lucas,0.3,1,0,6.3,549,False,5.4,0,88,78,0,0,0,1.3,0,0,Pérez,0.1,i,1,34.0,4,35643,35418,0.5,0,FWD,1,Arsenal,0.8,Spurs,0.30512820512820515,0.06923076923076923,0.4358974358974359,19.168
32,0,1,212,,3,18726,0.0,1,281,1,1,Artur,3.3,16,0,25.6,29,False,256.8,0,990,46,0,0,1,3.6,0,35,Boruc,8.5,a,2,0.0,40,192768,78111,8.7,1,GKP,2,Bournemouth,1.0,Sunderland,0.0,5.5826086956521745,0.0,887.4399999999999
34,0,3,223,,3,15149,88.1,1,462,2,1,Simon,3.7,16,0,41.1,31,False,273.8,0,990,46,0,0,0,2.7,0,0,Francis,2.6,a,2,47.0,30,84735,35403,6.7,1,DEF,2,Bournemouth,1.0,Sunderland,1.9152173913043478,5.952173913043478,1.0217391304347827,1542.93
35,0,6,224,100.0,3,56917,26.0,1,443,2,1,Steve,3.3,16,1,52.5,32,False,341.6,0,990,49,0,0,0,3.5,0,0,Cook,1.5,a,2,157.0,39,44228,15324,8.0,1,DEF,2,Bournemouth,1.0,Sunderland,0.5306122448979592,6.9714285714285715,3.204081632653061,1770.18
36,1,4,225,,3,41320,217.4,1,491,2,1,Charlie,2.7,16,1,55.2,33,False,225.6,0,990,51,0,0,0,3.6,0,0,Daniels,6.6,a,2,108.0,40,177019,86059,7.8,1,DEF,2,Bournemouth,1.0,Sunderland,4.262745098039216,4.423529411764706,2.1176470588235294,1527.7
37,3,3,246,100.0,3,54469,145.3,1,297,2,3,Adam,3.0,16,1,49.8,34,False,247.6,0,990,48,0,0,0,3.7,0,0,Smith,11.7,s,2,104.0,41,527446,182292,8.5,5,DEF,2,Bournemouth,1.0,Sunderland,3.0270833333333336,5.158333333333333,2.1666666666666665,1531.7
39,0,0,6,,0,126184,0.3,0,232,2,0,Nathan,0.0,2,0,0.3,36,False,0.2,0,15,42,0,0,0,1.0,0,0,Aké,0.9,a,2,2.0,2,5110,39148,0.5,0,DEF,2,Bournemouth,1.0,Sunderland,0.007142857142857143,0.004761904761904762,0.047619047619047616,2.0
42,0,0,70,100.0,2,54102,210.6,0,18,3,2,Jack,2.3,11,0,39.7,17,False,68.6,0,630,59,0,0,0,1.7,0,0,Wilshere,0.7,a,2,122.0,17,60729,46101,2.9,2,MID,2,Bournemouth,1.0,Sunderland,3.5694915254237287,1.1627118644067795,2.0677966101694913,939.7599999999999
43,2,2,170,100.0,3,48615,132.4,0,188,3,1,Harry,2.0,16,0,36.4,37,False,130.4,0,943,50,0,0,0,2.6,1,0,Arter,0.3,a,2,105.0,29,12471,8951,5.8,1,MID,2,Bournemouth,1.0,Sunderland,2.648,2.608,2.1,764.6
45,0,0,145,25.0,2,15237,119.5,0,385,3,0,Andrew,0.7,14,0,28.3,39,False,130.8,0,810,47,0,0,0,2.1,0,0,Surman,0.1,d,2,33.0,19,1556,7204,4.0,1,MID,2,Bournemouth,1.0,Sunderland,2.5425531914893615,2.7829787234042556,0.7021276595744681,217.31
48,3,6,148,75.0,2,56872,128.5,1,217,3,2,Junior,0.7,9,3,48.5,42,False,191.6,0,497,55,0,0,0,7.2,0,0,Stanislas,1.2,a,2,165.0,43,83709,42547,7.8,1,MID,2,Bournemouth,1.0,Sunderland,2.3363636363636364,3.4836363636363634,3.0,382.57
49,0,1,88,,1,40387,77.9,0,331,3,8,Dan,3.7,3,2,29.2,43,False,117.0,0,319,47,0,0,0,2.3,0,0,Gosling,0.2,a,2,97.0,23,4633,5383,4.9,1,MID,2,Bournemouth,1.0,Sunderland,1.6574468085106384,2.4893617021276597,2.0638297872340425,1103.03
